ada,title,amount,locations,why,from_whom,into_what,afm
ΨΗ0Γ46ΜΔΨΟ-Β4Σ,"Ανάληψη και Δέσμευση πίστωσης 730,00 € από τον Ε.Φ. 1055 501 , ΑΛΕ 2420404001 για την έκδοση Χρηματικού
Εντάλματος Προπληρωμής για την κάλυψη εξόδων μετακίνησης του Προϊστάμενου του Αυτοτελούς Τμήματος Πολιτικής
Σχεδίασης Έκτακτης Ανάγκης Αντωνίου Δημητρίου στη Φιλιππιάδα, στον Κατσικά, στην Αγ. Ελένη και στα Ιωάννινα, από
17/03/2025 έως 21/03/2025 με χρόνο απόδοσης του λογαριασμού την 31/03/2025","730,00 €","Φιλιππιάδα, Κατσικά, Αγ. Ελένη, Ιωάννινα",Κάλυψη εξόδων μετακίνησης του Προϊστάμενου του Αυτοτελούς Τμήματος Πολιτικής Σχεδίασης Έκτακτης Ανάγκης Αντωνίου Δημητρίου,Υπουργείο Μετανάστευσης και Ασύλου,Έξοδα κίνησης προσωπικού (έκδοση Χρηματικού Εντάλματος Προπληρωμής),
99ΓΦ46ΜΔΨΟ-1ΚΟ,"Ανάληψη και Δέσμευση πίστωσης 34.920,30 € από τον Ε.Φ. 1055 501 , ΑΛΕ 2420389001 για την προμήθεια
εξοπλισμού, παροχής υπηρεσιών συντήρησης και τεχνικής υποστήριξης του συστήματος τηλεδιάσκεψης του Υ.Μ.Α. και των
Δομών Σάμου, Κώ και Λέρου για τρία(3) έτη","34.920,30 €","Σάμου, Κώ και Λέρου","για την προμήθεια εξοπλισμού, παροχής υπηρεσιών συντήρησης και τεχνικής υποστήριξης του συστήματος τηλεδιάσκεψης",Υπουργείο Μετανάστευσης και Ασύλου,"προμήθεια εξοπλισμού, παροχή υπηρεσιών συντήρησης και τεχνικής υποστήριξης του συστήματος τηλεδιάσκεψης",
9ΜΨ346ΜΔΨΟ-84Ψ,"Ανάληψη και Δέσμευση πίστωσης 5.786,67 € από τον Ε.Φ. 1055 206 , ΑΛΕ 2420989001 για την κάλυψη δαπανών
πτητικής λειτουργίας στα ΚΥΤ και ΚΕΔ του Υπουργείου Μετανάστευσης και Ασύλου","5.786,67 €",ΚΥΤ και ΚΕΔ,κάλυψη δαπανών πτητικής λειτουργίας,Υπουργείο Μετανάστευσης και Ασύλου,δαπάνες πτητικής λειτουργίας στα ΚΥΤ και ΚΕΔ του Υπουργείου Μετανάστευσης και Ασύλου,
9ΖΘΖ46ΜΔΨΟ-ΓΜΙ,"Ανάληψη και Δέσμευση Πίστωσης ποσού 169,50€ Ε.Φ. 1055-101 ΑΛΕ 2420906001 για την πληρωμή ληξιπρόθεσμων υποχρεώσεων προηγούμενων οικονομικών ετών","169,50 €","Αγ. Ιωάννης Ρέντης, Αθήνα, Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων, Αναπληρωτών Γενικών Γραμματέων και Υπηρεσιακού Γραμματέα του Υπουργείου Μετανάστευσης και Ασύλου",Για την πληρωμή ληξιπρόθεσμων υποχρεώσεων προηγούμενων οικονομικών ετών,Υπουργείο Μετανάστευσης και Ασύλου,"Έξοδα προβολής, διαφήμισης και δημοσίων σχέσεων",
6Ζ7846ΜΔΨΟ-0Χ0,"Ανάληψη και Δέσμευση πίστωσης 9.300,00 € από τον Ε.Φ. 1055 202 , ΑΛΕ 2420989001 για την παροχή
υπηρεσιών τεχνικής υποστήριξης συστήματος τηλεδιερμηνείας για την Υπηρεσία Ασύλου","9.300,00 €",Υπηρεσία Ασύλου,Για την παροχή υπηρεσιών τεχνικής υποστήριξης συστήματος τηλεδιερμηνείας,Υπουργείο Μετανάστευσης και Ασύλου,Παροχή υπηρεσιών τεχνικής υποστήριξης συστήματος τηλεδιερμηνείας για την Υπηρεσία Ασύλου,
6ΙΦΛ46ΜΔΨΟ-Ω0Ψ,"Ανάληψη και Δέσμευση Πίστωσης ποσού 50,00€ Ε.Φ. 1055-206 ΛΕ 2420302001 για την πληρωμή ληξιπρόθεσμων υποχρεώσεων προηγούμενων οικονομικών ετών","50,00 €",Δεν αναφέρεται,για την πληρωμή ληξιπρόθεσμων υποχρεώσεων προηγούμενων οικονομικών ετών,"Υπουργείο Μετανάστευσης και Ασύλου, Ειδικός Φορέας 1055-206 0000000 Γενική Γραμματεία Υποδοχής Αιτούντων Άσυλο",Αμοιβές και έξοδα συντήρησης και επισκευής οχημάτων,Δεν αναφέρεται
93ΚΟ46ΜΔΨΟ-ΥΔ7,"Ανάληψη και Δέσμευση πίστωσης 24.000,00 € από τον Ε.Φ. 1055 202 , ΑΛΕ 2440101001 για την παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Λέσβου βάσει της 286572/26.11.2024 (ΑΔΑ:9Ι2Ε46ΜΔΨΟ-Δ69) Προέγκρισης Ανάληψης Υποχρέωσης.","24.000,00 €",Λέσβος,Για την παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Λέσβου,Υπουργείο Μετανάστευσης και Ασύλου,Παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου Λέσβου,
6Η6Ξ46ΜΔΨΟ-ΧΜΔ,"Ανάληψη και Δέσμευση πίστωσης 186,00 € από τον Ε.Φ. 1055 206 , ΑΛΕ 2420989001 για την πληρωμή
ληξιπρόθεσμων υποχρεώσεων προηγούμενων οικονομικών ετών","186,00 €","Αγ. Ιωάννης Ρέντης, Αθήνα",για την πληρωμή ληξιπρόθεσμων υποχρεώσεων προηγούμενων οικονομικών ετών,Υπουργείο Μετανάστευσης και Ασύλου,πληρωμή ληξιπρόθεσμων υποχρεώσεων προηγούμενων οικονομικών ετών,
91ΦΗ46ΜΔΨΟ-83Υ,"Ανάληψη και Δέσμευση πίστωσης 48.748,85 € από τον Ε.Φ. 1055 202 , ΑΛΕ 2440101001 για την
ανανέωση/παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου (ΠΓΑ) Χίου","48.748,85 €",Χίου,για την ανανέωση/παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου (ΠΓΑ) Χίου,Υπουργείο Μετανάστευσης και Ασύλου,ανανέωση/παράταση μίσθωσης ακινήτου για τη στέγαση του Περιφερειακού Γραφείου Ασύλου (ΠΓΑ) Χίου,
Ψ7ΙΜ46ΜΔΨΟ-ΩΣΡ,"Ανάληψη και Δέσμευση Πίστωσης ποσού 13.269,64€ Ε.Φ. 1055-202 ΑΛΕ 3120102001 για την κάλυψη δαπανών προμήθειας κλιματιστικών μονάδων στο Περιφερειακό Γραφείο Ασύλου (ΠΓΑ) Πειραιά της Υπηρεσίας Ασύλου και αφορά ανεκτέλεστο μέρος συμβατικής υποχρέωσης του προηγούμενου οικονομικού έτους","13.269,64 €",Περιφερειακό Γραφείο Ασύλου (ΠΓΑ) Πειραιά,κάλυψη δαπανών προμήθειας κλιματιστικών μονάδων,Υπουργείο Μετανάστευσης και Ασύλου,προμήθεια κλιματιστικών μονάδων,
6ΦΧ146ΜΔΨΟ-Γ4Β,"Ανάληψη και Δέσμευση πίστωσης 13.250,00 € από τον Ε.Φ. 1055 202 , ΑΛΕ 2420103001 για την πληρωμή
δαπάνης προμήθειας ταχυδρομικών υπηρεσιών για το οικονομικό έτος 2025 και συγκεκριμένα για την περίοδο από
01.01.2025 έως 07.04.2025, που λήγει η με αριθ. 6819/2022 Εκτελεστική Σύμβαση της με αρ. 08/ΓΓΕ/2022 (ΑΔΑΜ:
22SYMV010250900) Συμφωνίας-Πλαίσιο για την παροχή ταχυδρομικών υπηρεσιών στο Υ.Μ.Α.","13.250,00 €",Υπουργείο Μετανάστευσης και Ασύλου,"Για την πληρωμή δαπάνης προμήθειας ταχυδρομικών υπηρεσιών για το οικονομικό έτος 2025 και συγκεκριμένα για την περίοδο από 01.01.2025 έως 07.04.2025, που λήγει η με αριθ. 6819/2022 Εκτελεστική Σύμβαση της με αρ. 08/ΓΓΕ/2022 Συμφωνίας-Πλαίσιο για την παροχή ταχυδρομικών υπηρεσιών στο Υ.Μ.Α.",Υπουργείο Μετανάστευσης και Ασύλου,Προμήθεια ταχυδρομικών υπηρεσιών,
9ΦΚΝ46ΜΔΨΟ-ΟΡΑ,"Ανάληψη και Δέσμευση πίστωσης 10.632,29 € από τον Ε.Φ. 1055 202 , ΑΛΕ 2420103001 για την πληρωμή
απλήρωτων υποχρεώσεων ταχυδρομικών υπηρεσιών οικονομικού έτους 2024","10.632,29 €",Δεν αναφέρονται συγκεκριμένες περιοχές,Για την πληρωμή απλήρωτων υποχρεώσεων ταχυδρομικών υπηρεσιών οικονομικού έτους 2024,Υπουργείο Μετανάστευσης και Ασύλου,Έξοδα ταχυδρομικών υπηρεσιών,Δεν αναφέρεται
6ΔΛ846ΜΔΨΟ-ΦΓ5,"Έγκριση Πρωτοκόλλου Οριστικής Παραλαβής Εργασιών του Αναδόχου ‘’ΣΙΔΗΡΟΔΡΟΜΙΚΑ ΕΡΓΑ ΑΝΩΝΥΜΗ ΕΡΓΟΛΗΠΤΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΤΑΙΡΕΙΑ’’, για το έργο “Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στη Δομή Σχιστού Αττικής’’","Αρχική Σύμβαση 284.551,32 €, 1η ΣΣΕ 78.320,13 €, αναθεώρηση 50.439,59 € (χωρίς Φ.Π.Α. 24%)",Δομή Σχιστού Αττικής,Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας,Υπουργείο Μετανάστευσης & Ασύλου,Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στη Δομή Σχιστού Αττικής,
613Π46ΜΔΨΟ-1ΨΨ,"Έγκριση Πρωτοκόλλου Οριστικής Παραλαβής Εργασιών του Αναδόχου ‘’ΣΙΔΗΡΟΔΡΟΜΙΚΑ ΕΡΓΑ ΑΝΩΝΥΜΗ ΕΡΓΟΛΗΠΤΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΤΑΙΡΕΙΑ’’, για το έργο “Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στις δομές Βαγιοχωρίου, Λαγκαδικίων, Αλεξάνδρειας, Φιλιππιάδας και Σερρών’’","Αρχική Σύμβαση 2.117.283,76 €, 1η ΣΣΕ 527.297,31 €, αναθεώρηση 339.708,81 €","Βαγιοχώρι, Λαγκαδίκια, Αλεξάνδρεια, Φιλιππιάδα, Σέρρες",Έγκριση Πρωτοκόλλου Οριστικής Παραλαβής Εργασιών για περίφραξη και εγκατάσταση υποδομών ασφάλειας,Υπουργείο Μετανάστευσης & Ασύλου,"Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στις δομές Βαγιοχωρίου, Λαγκαδικίων, Αλεξάνδρειας, Φιλιππιάδας και Σερρών",
6Σ4Ο46ΜΔΨΟ-Υ1Χ,"Έγκριση Πρωτοκόλλου Οριστικής Παραλαβής Εργασιών του Αναδόχου ‘’ΣΙΔΗΡΟΔΡΟΜΙΚΑ ΕΡΓΑ ΑΝΩΝΥΜΗ ΕΡΓΟΛΗΠΤΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΤΑΙΡΕΙΑ’’, για το έργο “Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στη Δομή Κατσικά Ιωαννίνων’’","Αρχική Σύμβαση 390.104,17 €, 1η ΣΣΕ 93.762,20 €, αναθεώρηση 69.447,68 € (χωρίς Φ.Π.Α. 24%)","Δομή Κατσικά Ιωαννίνων, Δομές της ενδοχώρας (Τμήμα Ι: Δομές Βορείου Ελλάδας)",Έγκριση Πρωτοκόλλου Οριστικής Παραλαβής Εργασιών,Υπουργείο Μετανάστευσης & Ασύλου,Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στη Δομή Κατσικά Ιωαννίνων. Ανάδοχος: ΣΙΔΗΡΟΔΡΟΜΙΚΑ ΕΡΓΑ ΑΝΩΝΥΜΗ ΕΡΓΟΛΗΠΤΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,Δεν αναφέρεται
ΨΨΝ046ΜΔΨΟ-ΨΑΛ,"«Σύσταση και Συγκρότηση Ομάδας Διοίκησης Έργου (ΟΔΕ) για τον συντονισμό, την υλοποίηση και παρακολούθηση του έργου «24EL16 – RECEPTION AND INTEGRATION REFORMS FOR MIGRANTS, ESPECIALLY UNACCOMPANIED YOUTH -(Μεταρρυθμίσεις Υποδοχής και Ένταξης για Μετανάστες, Ιδιαίτερα Ασυνόδευτους Νέους)», εγκεκριμένου στο πλαίσιο της Συμφωνίας REFORM/IM2024/028 μεταξύ DG REFORM και Ύπατης Αρμοστείας του ΟΗΕ για τους Πρόσφυγες (UNCHR)»","Δεν αναφέρεται χρηματικό ποσό για την παρούσα απόφαση, καθώς δεν προκαλείται δαπάνη σε βάρος του κρατικού προϋπολογισμού και δεν προβλέπεται αποζημίωση για τα μέλη της Ομάδας Διοίκησης Έργου.","Αγ. Ιωάννης Ρέντης, Έδρα του Υπουργείου Μετανάστευσης και Ασύλου","Σύσταση και συγκρότηση Ομάδας Διοίκησης Έργου (ΟΔΕ) για τον συντονισμό, την υλοποίηση και παρακολούθηση του έργου «24EL16 – RECEPTION AND INTEGRATION REFORMS FOR MIGRANTS, ESPECIALLY UNACCOMPANIED YOUTH - (Μεταρρυθμίσεις Υποδοχής και Ένταξης για Μετανάστες, Ιδιαίτερα Ασυνόδευτους Νέους)», με στόχο τη βελτίωση των πολιτικών υποδοχής και ένταξης των ασυνόδευτων νέων ηλικίας 15-23 ετών.",Ο Υπουργός Μετανάστευσης και Ασύλου (για τη σύσταση της ΟΔΕ). Το έργο έχει εγκριθεί στο πλαίσιο συμφωνίας μεταξύ της Γενικής Διεύθυνσης Στήριξης Διαρθρωτικών Μεταρρυθμίσεων της Ε.Ε. (DG REFORM) και της Ύπατης Αρμοστείας του ΟΗΕ για τους Πρόσφυγες (UNCHR).,"Στο έργο «24EL16 – RECEPTION AND INTEGRATION REFORMS FOR MIGRANTS, ESPECIALLY UNACCOMPANIED YOUTH - (Μεταρρυθμίσεις Υποδοχής και Ένταξης για Μετανάστες, Ιδιαίτερα Ασυνόδευτους Νέους)». Φορέας υλοποίησης είναι η Ύπατη Αρμοστεία του ΟΗΕ για τους Πρόσφυγες (UNCHR) και δικαιούχος των αποτελεσμάτων το Υπουργείο Μετανάστευσης και Ασύλου, Γενική Γραμματεία Ευάλωτων Πολιτών και Θεσμικής Προστασίας.",Δεν αναφέρεται.
9ΛΟ546ΜΔΨΟ-9ΞΡ,"«Τροποποίηση της υπ’ αριθ. πρωτ. 413697/08-09-23 Απόφασης του Υπουργού Μετανάστευσης και Ασύλου με θέμα «Συγκρότηση Τεχνικού Συμβουλίου στο Υπουργείο Μετανάστευσης και Ασύλου» (ΑΔΑ: 63ΧΤ46ΜΔΨΟ-ΖΨΦ)» όπως τροποποιήθηκε και ισχύει με τις (ΑΔΑ:9ΕΡΧ46ΜΔΨΟ-ΓΕΑ), (ΑΔΑ:6ΝΝ846ΜΔΨΟ-ΦΞΝ), (ΑΔΑ:637546ΜΔΨΟ-ΨΚ2) και (ΑΔΑ:Ψ09Ι46ΜΔΨΟ-ΦΒ5) αποφάσεις.»","Δεν αναφέρεται χρηματικό ποσό, καθώς η απόφαση δεν προκαλεί δαπάνη.","Υπουργείο Μετανάστευσης και Ασύλου (Λ. Θηβών 196-198, Νίκαια - Άγιος Ιωάννης Ρέντη)","Τροποποίηση προηγούμενης απόφασης για τη συγκρότηση Τεχνικού Συμβουλίου στο Υπουργείο Μετανάστευσης και Ασύλου, συγκεκριμένα την αντικατάσταση του αναπληρωτή του Προέδρου της Επιτροπής.",Υπουργός Μετανάστευσης και Ασύλου,Τροποποίηση της σύνθεσης του Τεχνικού Συμβουλίου στο Υπουργείο Μετανάστευσης και Ασύλου,Δεν αναφέρεται
ΨΤΕΦ46ΜΔΨΟ-Ζ2Τ,"Ανάκληση ποσού 50.000,00 € από τον Ε.Φ. 1055 207 , ΑΛΕ 2120101001 για «για την τροποποίηση του π.δ του
οργανισμού του Υπουργείου Μετανάστευσης και Ασύλου","50.000,00 €","Αγ. Ιωάννης Ρέντης, Αθήνα",Για την τροποποίηση του π.δ του οργανισμού του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,Βασικός μισθός ενιαίου μισθολογίου (μόνιμοι και ΙΔΑΧ),
9ΞΡΕ46ΜΔΨΟ-Σ8Ε,Διαπιστωτική πράξη αυτοδίκαιης μονιμοποίησης υπαλλήλου του Υπουργείου Μετανάστευσης και Ασύλου.,Καμία,"Υπουργείο Μετανάστευσης και Ασύλου, Αγ. Ιωάννης Ρέντη",Αυτοδίκαιη μονιμοποίηση υπαλλήλου,Υπουργείο Μετανάστευσης και Ασύλου,Μονιμοποίηση του υπαλλήλου Φιλιππόπουλου Γεώργιου του Γεωργίου σε κενή οργανική θέση κατηγορίας/κλάδου ΠΕ Διοικητικού -Οικονομικού,Δεν αναφέρεται
9ΞΡΕ46ΜΔΨΟ-Σ8Ε,Διαπιστωτική πράξη αυτοδίκαιης μονιμοποίησης υπαλλήλου του Υπουργείου Μετανάστευσης και Ασύλου.,Δεν προκαλείται καμία δαπάνη,"Δεν εφαρμόζεται, καθώς πρόκειται για διοικητική πράξη μονιμοποίησης υπαλλήλου",Αυτοδίκαιη μονιμοποίηση υπαλλήλου του Υπουργείου Μετανάστευσης και Ασύλου,Υπηρεσιακή Γραμματέας του Υπουργείου Μετανάστευσης και Ασύλου,Μονιμοποίηση του υπαλλήλου Φιλιππόπουλου Γεώργιου του Γεωργίου,Δεν αναφέρεται
Ψ99346ΜΔΨΟ-49Σ,"Περίληψη της Προγραμματικής Σύμβασης μεταξύ του Υπουργείου
Μετανάστευσης και Ασύλου και της Α.Μ.Κ.Ε. «Odyssea» για την υλοποίηση του Έργου
«Bridging the Skills Gap»","2.800.239,40 ευρώ (συμπεριλαμβανομένου ΦΠΑ 24%)",Ελλάδα,"Προώθηση της κοινωνικής ένταξης, μέσω της παροχής υπηρεσιών στοχευμένης εκπαίδευσης, κατάρτισης και πρόσβασης στην αγορά εργασίας, πολιτών τρίτων χωρών που διαμένουν νόμιμα στη χώρα και έχουν δικαίωμα εργασίας, και ειδικότερα αιτούντων άσυλο, δικαιούχων διεθνούς και προσωρινής προστασίας και ασυνόδευτων ανηλίκων.",Ομοσπονδιακό Συμβούλιο της Ελβετίας,Α.Μ.Κ.Ε. «Odyssea» για την υλοποίηση του Έργου «Bridging the Skills Gap»,
ΨΟΕ646ΜΔΨΟ-ΜΞΟ,"Ορισμός επιβλέποντα μηχανικού του έργου «Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στις Δομές Θήβας, Οινοφύτων, Κορίνθου και Κυλλήνης»",Δεν αναφέρεται,"Θήβας, Οινοφύτων, Κορίνθου και Κυλλήνης",Για την εγκατάσταση υποδομών ασφάλειας και περίφραξης στις δομές,Υπουργείο Μετανάστευσης & Ασύλου,"Το έργο «Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στις Δομές Θήβας, Οινοφύτων, Κορίνθου και Κυλλήνης» που ανατέθηκε στην εταιρεία «ΣΙΔΗΡΟΔΡΟΜΙΚΑ ΕΡΓΑ ΑΤΕ»",Δεν αναφέρεται
9Π0146ΜΔΨΟ-ΤΝΓ,Ορισμός επιβλέπουσας μηχανικού του έργου «Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στις Δομές Βέροιας και Δράμας»,,Δομές Βέροιας και Δράμας,Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας,Υπουργείο Μετανάστευσης & Ασύλου,Έργο «Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στις Δομές Βέροιας και Δράμας» από την εταιρεία «ΣΙΔΗΡΟΔΡΟΜΙΚΑ ΕΡΓΑ ΑΤΕ»,
654546ΜΔΨΟ-ΔΤ6,"Έγκριση του 4
ου Ανακεφαλαιωτικού Πίνακα Εργασιών (Α.Π.Ε) – (Τακτοποιητικός) του 
έργου «Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στη Δομή Κουτσόχερου 
Λάρισας» της συμφωνίας-πλαίσιο «Εργασίες περίφραξης και εγκατάστασης υποδομών 
ασφάλειας στις Δομές της Ενδοχώρας (Τμήμα ΙΙ: Δομές Νοτίου Ελλάδας)»",,"Δομή Κουτσόχερου Λάρισας, Δομές της Ενδοχώρας (Τμήμα ΙΙ: Δομές Νοτίου Ελλάδας)",Έγκριση του 4ου Ανακεφαλαιωτικού Πίνακα Εργασιών (Α.Π.Ε) – (Τακτοποιητικός),Υπουργείο Μετανάστευσης & Ασύλου,Εργασίες περίφραξης και εγκατάστασης υποδομών ασφάλειας στη Δομή Κουτσόχερου Λάρισας,
6ΥΦΣ46ΜΔΨΟ-2ΦΒ,"Ανάληψη και Δέσμευση πίστωσης 250,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420102001 για την κάλυψη δαπανών
κινητής τηλεφωνίας του Υπουργείου Μετανάστευσης και Ασύλου (Υφυπουργός, Συνεργάτης Υφυπουργού και Γενικός
Γραμματέας Ευάλωτων Πολιτών και Θεσμικής Προστασίας)","250,00 €",Υπουργείο Μετανάστευσης και Ασύλου,"για την κάλυψη δαπανών κινητής τηλεφωνίας του Υπουργείου Μετανάστευσης και Ασύλου (Υφυπουργός, Συνεργάτης Υφυπουργού και Γενικός Γραμματέας Ευάλωτων Πολιτών και Θεσμικής Προστασίας)",Υπουργείο Μετανάστευσης και Ασύλου,Έξοδα κινητής τηλεφωνίας,
9ΨΡ446ΜΔΨΟ-44Ι,"Απόφαση έγκρισης του Πρακτικού της Επιτροπής Διενέργειας & Αξιολόγησης Δημόσιου Διαγωνισμού για τον έλεγχο των υποβληθέντων δικαιολογητικών και κατακύρωσης στον οριστικό ανάδοχο «HELLENIC – ΓΕΥΣΗΝΟΥΣ ΑΒΕΕ – ΓΕΥΣΗΝΟΥΣ ΕΠΕ – ΕΛΑΙΤΙΣ - OLYMPIC» της 12ης εκτελεστικής για το Τμήμα 2 «Νότια Ελλάδα», δυνάμει της υπ΄ αριθμ. 262484/22.09.2021 (ΑΔΑΜ: 21SYMV009246455) Σύμβασης 26/2021 Συμφωνίας – Πλαίσιο 1/2021, ως ισχύει μετά την υπ’ αριθμ. 667864/09.11.2022 (ΑΔΑΜ: 22SYMV011567798 2022-11-09)  Α’ Τροποποίηση για το έργο «Παροχή Υπηρεσιών παρασκευής, μεταφοράς και διανομής γευμάτων σε δομές φιλοξενίας πολιτών τρίτων χωρών ή ανιθαγενών που έχουν αιτηθεί διεθνή προστασία».","3.918.297,60 € (πλέον ΦΠΑ 13%), ποσό με ΦΠΑ 4.427.676,29 €",Τμήμα 2 «Νότια Ελλάδα» και δομές φιλοξενίας πολιτών τρίτων χωρών ή ανιθαγενών που έχουν αιτηθεί διεθνή προστασία,"Παροχή Υπηρεσιών παρασκευής, μεταφοράς και διανομής γευμάτων σε δομές φιλοξενίας πολιτών τρίτων χωρών ή ανιθαγενών που έχουν αιτηθεί διεθνή προστασία",Υπουργείο Μετανάστευσης & Ασύλου (Ο Υπουργός Μετανάστευσης και Ασύλου),"Ένωση εταιρειών «HELLENIC – ΓΕΥΣΗΝΟΥΣ ΑΒΕΕ – ΓΕΥΣΗΝΟΥΣ ΕΠΕ – ΕΛΑΙΤΙΣ - OLYMPIC» για την παροχή υπηρεσιών παρασκευής, μεταφοράς και διανομής γευμάτων",
Ψ6Α246ΜΔΨΟ-15Λ,Ανάκληση διορισμού υπαλλήλου λόγω μη αποδοχής θέσης Υποχρεωτικής Εκπαίδευσης στο Υπουργείο Μετανάστευσης και Ασύλου.,,"Ελεγχόμενη Δομή Προσωρινής Φιλοξενίας Αιτούντων Άσυλο Σχιστού, Διεύθυνσης Δομών Νοτίου Ελλάδος",Λόγω μη αποδοχής διορισμού του στο Υπουργείο Μετανάστευσης και Ασύλου,Προϊσταμένη της Γενικής Διεύθυνσης Διοικητικών και Οικονομικών Υπηρεσιών του Υπουργείου Μετανάστευσης και Ασύλου,Ανάκληση απόφασης διορισμού σε κενή οργανική θέση κλάδου/ειδικότητας ΥΕ ΒΟΗΘΗΤΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ,
ΨΞΤΗ46ΜΔΨΟ-Τ0Ψ,Mετακίνηση υπαλλήλου στην Μονάδα Β.4: Διαχείρισης Πράξεων ΕΣΠΑ της Ειδικής Υπηρεσίας Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ – ΜΕΥ) της Γενικής Γραμματείας Μεταναστευτικής Πολιτικής του Υπουργείου Μετανάστευσης και Ασύλου,Δεν αναφέρεται χρηματικό ποσό. Το κείμενο αφορά μετακίνηση υπαλλήλου.,"Εντός της Ειδικής Υπηρεσίας Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ), από τη Μονάδα Β.2 στη Μονάδα Β.4. Η υπηρεσία εδρεύει στον Άγιο Ιωάννη Ρέντη.",Λόγω υπηρεσιακών αναγκών της Μονάδας Β.4: Διαχείρισης Πράξεων ΕΣΠΑ.,Ο Προϊστάμενος της Ειδικής Υπηρεσίας Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ) του Υπουργείου Μετανάστευσης & Ασύλου.,Μετακίνηση υπαλλήλου (Νεκταρία Λιακοπούλου) από τη Μονάδα Β.2: Διαχείρισης έργων/δράσεων ΤΑΜΕ και άλλων πόρων στη Μονάδα Β.4: Διαχείρισης Πράξεων ΕΣΠΑ της ΕΥΣΥΔ-ΜΕΥ.,Δεν αναφέρεται.
Ρ53Τ46ΜΔΨΟ-ΨΒΝ,"Έγκριση ανάθεσης της εκτελεστικής σύμβασης με κωδικό FM1-27 «Παροχή υπηρεσιών συντήρησης στο ΚΥΤ Φυλακίου Έβρου, καθώς και στις συνδεδεμένες με αυτό Υπηρεσίες αρμοδιότητας του Υπουργείου Μετανάστευσης και Ασύλου» της συμφωνίας-πλαίσιο «Παροχή υπηρεσιών Διαχείρισης Εγκαταστάσεων (Facilities Management) κάθε τύπου Δομών Προσωρινής Υποδοχής και Φιλοξενίας αιτούντων άσυλο προσφύγων και μεταναστών και συναφών υποδομών και εγκαταστάσεων, καθώς και κτιριακών υποδομών κάθε Υπηρεσίας αρμοδιότητας του Υπουργείου Μετανάστευσης και Ασύλου» - Τμήμα 1 - Έγκριση του σχεδίου σύμβασης, του προϋπολογισμού, και των Προγραμμάτων Προληπτικής Συντήρησης - Πρόσκληση αναδόχου","617.516,33€ συμπεριλαμβανομένου ΦΠΑ","Στο ΚΥΤ Φυλακίου Έβρου, καθώς και στις συνδεδεμένες με αυτό Υπηρεσίες αρμοδιότητας του Υπουργείου Μετανάστευσης και Ασύλου",Για την παροχή υπηρεσιών συντήρησης,Υπουργείο Μετανάστευσης και Ασύλου,"Στην εκτελεστική σύμβαση με κωδικό FM1-27 «Παροχή υπηρεσιών συντήρησης στο ΚΥΤ Φυλακίου Έβρου, καθώς και στις συνδεδεμένες με αυτό Υπηρεσίες αρμοδιότητας του Υπουργείου Μετανάστευσης και Ασύλου», αναδόχου της οποίας είναι η κοινοπραξία «NOVACON – BRINK’S – LABOLAGET JOINT VENTURE»",996673115
